40 -22
39.9619 -21.1284
39.8481 -20.2635
39.6593 -19.4118
39.3969 -18.5798
39.0631 -17.7738
38.6603 -17
38.1915 -16.2642
37.6604 -15.5721
37.0711 -14.9289
36.4279 -14.3396
35.7358 -13.8085
35 -13.3398
34.2262 -12.9369
33.4202 -12.6031
32.5882 -12.3407
31.7365 -12.1519
30.8716 -12.0381
30 -12
29.1285 -12.0381
28.2635 -12.1519
27.4118 -12.3407
26.5798 -12.6031
25.7738 -12.9369
25 -13.3397
24.2643 -13.8085
23.5721 -14.3395
22.9289 -14.9289
22.3396 -15.5721
21.8085 -16.2642
21.3398 -17
20.9369 -17.7738
20.6031 -18.5798
20.3407 -19.4118
20.1519 -20.2635
20.0381 -21.1284
20 -22
20.038 -22.8715
20.1519 -23.7365
20.3407 -24.5882
20.6031 -25.4202
20.9369 -26.2262
21.3397 -27
21.8085 -27.7357
22.3395 -28.4279
22.9289 -29.071
23.5721 -29.6604
24.2642 -30.1915
25 -30.6602
25.7738 -31.0631
26.5798 -31.3969
27.4118 -31.6592
28.2635 -31.8481
29.1284 -31.9619
30 -32
30.8715 -31.962
31.7364 -31.8481
32.5882 -31.6593
33.4202 -31.3969
34.2261 -31.0631
35 -30.6603
35.7357 -30.1915
36.4278 -29.6605
37.071 -29.0711
37.6604 -28.4279
38.1915 -27.7358
38.6602 -27
39.0631 -26.2262
39.3969 -25.4202
39.6592 -24.5882
39.8481 -23.7365
39.9619 -22.8716
40 -22.0001
