47.5 0
47.3478 3.48623
46.8923 6.94592
46.137 10.3528
45.0877 13.6808
43.7523 16.9047
42.141 20
40.2661 22.943
38.1418 25.7115
35.7843 28.2843
33.2115 30.6418
30.4431 32.7661
27.5 34.641
24.4048 36.2523
21.1808 37.5877
17.8528 38.637
14.446 39.3923
10.9863 39.8478
7.50005 40
4.01383 39.8478
0.554129 39.3923
-2.8527 38.6371
-6.18075 37.5877
-9.40467 36.2523
-12.4999 34.6411
-15.443 32.7661
-18.2114 30.6418
-20.7842 28.2843
-23.1417 25.7116
-25.266 22.9431
-27.141 20.0001
-28.7523 16.9048
-30.0877 13.6809
-31.137 10.3529
-31.8923 6.94603
-32.3478 3.48633
-32.5 0.000101407
-32.3478 -3.48612
-31.8923 -6.94582
-31.1371 -10.3527
-30.0877 -13.6807
-28.7524 -16.9046
-27.1411 -19.9999
-25.2662 -22.943
-23.1419 -25.7114
-20.7844 -28.2842
-18.2116 -30.6417
-15.4432 -32.766
-12.5001 -34.6409
-9.40487 -36.2522
-6.18095 -37.5877
-2.85291 -38.637
0.553924 -39.3923
4.01362 -39.8478
7.49985 -40
10.9861 -39.8478
14.4458 -39.3923
17.8526 -38.6371
21.1806 -37.5878
24.4046 -36.2524
27.4998 -34.6411
30.4429 -32.7662
33.2114 -30.6419
35.7841 -28.2844
38.1417 -25.7117
40.266 -22.9432
42.1409 -20.0002
43.7522 -16.9049
45.0876 -13.681
46.137 -10.353
46.8923 -6.94613
47.3478 -3.48643
47.5 -0.000202815
